,,0
AutoOwn0,D1C5_IND,0.6394194743024291
AutoOwn0,D1C5_SVC,0.8043380949129075
AutoOwn0,D1C5_ENT,0.7465691435148184
AutoOwn0,D1C8_RET,0.7166550889133093
AutoOwn0,D1C8_OFF,0.7267681945233828
AutoOwn0,D1C8_IND,0.6394194743024291
AutoOwn0,D1C8_SVC,0.7378793807978948
AutoOwn0,D1C8_ENT,0.7465691435148184
AutoOwn0,D1C8_ED,0.5366296825663707
AutoOwn0,D1C8_HLTH,0.8623588725684163
AutoOwn0,D1D,0.8446428627894904
AutoOwn0,D3AMM,0.713976061600228
AutoOwn0,D3BAO,0.5209403710148515
AutoOwn0,D3BMM3,0.5305177411212794
AutoOwn0,D3BMM4,0.68433000106172
AutoOwn0,D4B025,0.830202324022074
AutoOwn0,D4B050,0.7671360445810759
AutoOwn0,D4C,0.8749850323625787
AutoOwn0,D4D,0.8628636646584162
AutoOwn0,D4E,0.6892495388564824
AutoOwn0,D5AR,0.6285701053395387
AutoOwn0,D5AE,0.5880355942699029
AutoOwn0,D5BR,0.9030643885962357
AutoOwn0,D5BE,0.9029844190494336
Pct_AO0,AutoOwn0,0.9318885218765914
Pct_AO0,Pct_AO0,1.0
Pct_AO0,Pct_AO2p,-0.787636248003562
Pct_AO0,D1A,0.7792381766928723
Pct_AO0,D1B,0.7868795185475412
Pct_AO0,D1C,0.6394375599898166
Pct_AO0,D1C5_RET,0.5888765011729958
Pct_AO0,D1C5_OFF,0.5276853096346582
Pct_AO0,D1C5_IND,0.5368194072403459
Pct_AO0,D1C5_SVC,0.6723125696305713
Pct_AO0,D1C5_ENT,0.5880628347191351
Pct_AO0,D1C8_RET,0.5888765011729958
Pct_AO0,D1C8_OFF,0.5714584347703229
Pct_AO0,D1C8_IND,0.5368194072403459
Pct_AO0,D1C8_SVC,0.5802753081795621
Pct_AO0,D1C8_ENT,0.5880628347191351
Pct_AO0,D1C8_HLTH,0.7712511672645942
Pct_AO0,D1D,0.7225950809786311
Pct_AO0,D3AMM,0.7106669492626994
Pct_AO0,D3BMM3,0.5502764532585729
Pct_AO0,D3BMM4,0.70262355832036
Pct_AO0,D4B025,0.7760193535816293
Pct_AO0,D4B050,0.7280159035774332
Pct_AO0,D4C,0.7972713729817572
Pct_AO0,D4D,0.7698418843151172
Pct_AO0,D4E,0.6088618727137214
Pct_AO0,D5AR,0.5887199598535029
Pct_AO0,D5AE,0.5661082264548684
Pct_AO0,D5BR,0.8476670611823917
Pct_AO0,D5BE,0.8648410580231588
AutoOwn1,TotPop,0.687736254390123
AutoOwn1,CountHU,0.5929800199620585
AutoOwn1,HH,0.7794330183013242
AutoOwn1,AutoOwn1,1.0
AutoOwn1,Pct_AO1,0.5677690704331588
AutoOwn1,Workers,0.5809410961636723
AutoOwn1,R_LowWageWk,0.5937509725525242
AutoOwn1,R_MedWageWk,0.6492993855322765
AutoOwn1,TotEmp,0.6126072608646913
AutoOwn1,E5_Ret,0.6548428368393016
AutoOwn1,E5_Svc,0.618741503156663
AutoOwn1,E8_Ret,0.6548428368393016
AutoOwn1,E8_Svc,0.5330779791977137
AutoOwn1,E8_Hlth,0.5393539249702021
AutoOwn1,E_LowWageWk,0.6230203382158896
AutoOwn1,E_MedWageWk,0.6818808650685219
Pct_AO1,AutoOwn1,0.5677690704331588
Pct_AO1,Pct_AO1,1.0
Pct_AO1,Pct_AO2p,-0.8147737813985445
AutoOwn2p,TotPop,0.8621337722848088
AutoOwn2p,CountHU,0.696299449504788
AutoOwn2p,HH,0.895497088855614
AutoOwn2p,AutoOwn2p,1.0
AutoOwn2p,Pct_AO2p,0.5217904249493922
AutoOwn2p,Workers,0.7788597089254128
AutoOwn2p,R_LowWageWk,0.728369096978377
AutoOwn2p,R_MedWageWk,0.6835786362023468
AutoOwn2p,R_HiWageWk,0.6980256495257776
AutoOwn2p,E5_Ret,0.5956708927544075
